loca_2,representative_point_lat,representative_point_lng
MARYVALE,-22.98330892,150.62238207507775
MARYVALE,-28.069410975,152.27527700829097
MASIG ISLAND,-9.752710610000001,143.40723213246622
MASSIE,-28.1315169,151.9388487944007
MAUDSLAND,-27.94088954,153.27938722290276
BASALT,-19.711748895,145.39121004250228
MAXWELTON,-20.873245315,142.63745893604045
MAY DOWNS,-22.60693936,148.83383818702228
MCCUTCHEON,-17.72264791,146.06029454139514
MCDESME,-19.62005069,147.39824354219655
MCDOWALL,-27.38185464,152.9931775019775
MCEWENS BEACH,-21.234230675,149.19097764017283
MCILWRAITH,-24.997907695,152.001549640887
MCINTOSH CREEK,-26.260578525,152.63769033510937
MCKINLAY,-21.422435565,141.20657213289917
MEADOWBROOK,-27.665651095,153.14379493139398
BASILISK,-17.669371695000002,145.9961561615214
MEADOWVALE,-24.819872165,152.25275360110405
MEANDARRA,-27.306959575,149.86349393404095
MEIKLEVILLE HILL,-23.114942365,150.74604082639166
MELAWONDI,-26.416877585,152.6611224438261
MELDALE,-27.0276635,153.06701519838538
MELROSE,-26.276656430000003,151.60383163827106
MEMERAMBI,-26.459407785,151.8079439968434
MENA CREEK,-17.67131131,145.89181771103756
MENTMORE,-20.757077065,148.72677060499677
MENZIES,-20.71761645,139.49724997735746
BASIN POCKET,-27.601407515,152.7698738609069
MERIDAN PLAINS,-26.76320415,153.08608794847999
MERINGANDAN,-27.402726135,151.92236020025638
MERINGANDAN WEST,-27.4171902,151.88734221092446
MERLWOOD,-26.15425381,151.87684128210384
MERMAID BEACH,-28.0482559,153.43650603864916
MERMAID WATERS,-28.052527085,153.4219279938156
MERRIMAC,-28.05161959,153.3740548848203
MERRITTS CREEK,-27.35420208,152.03388131766746
MERRYBURN,-17.915004695,145.97636022720286
MERRYVALE,-27.797517895,152.48243981560628
BATTERY HILL,-26.778993315,153.12987865479303
MEXICO,-23.911065354999998,146.1921808053792
MIA MIA,-21.223229695,148.828901417804
MIALLO,-16.404168835,145.3721301720866
MIAMI,-28.069077165,153.43507854756666
MIARA,-24.67607805,152.1624613753645
